"","teamname","MINS","FG","FGA","FG3","FG3A","FT","FTA","PTS","OREB","DREB","AST","TO","STL","BLK","FLS","opp_FG","opp_FGA","opp_3FG","opp_3FGA","opp_FT","opp_FTA","opp_PTS","opp_OREB","opp_DREB","opp_AST","opp_TO","opp_STL","opp_BLK","opp_FLS"
"189","New Hampshire",5900,693,1605,227,664,395,497,2008,273,804,342,324,109,54,465,736,1675,198,602,312,490,1982,223,732,333,286,180,80,484
"190","New Mexico",6225,778,1693,145,444,545,780,2283,274,797,419,403,173,109,615,766,1771,261,708,460,667,2253,307,742,436,416,233,102,650
"191","New Mexico St.",6225,813,1678,230,686,540,762,2396,383,811,455,423,152,107,576,765,1780,175,576,428,626,2133,323,694,339,414,162,62,671
"192","New Orleans",5900,727,1566,119,388,474,670,2047,344,667,434,478,217,86,511,718,1615,189,593,386,561,2011,322,608,367,452,230,103,607
"193","Niagara",6674,846,2035,244,667,512,683,2448,389,872,416,428,172,152,604,921,2090,268,733,434,598,2579,386,885,509,383,195,135,635
"194","Nicholls St.",5225,659,1565,214,645,414,561,1964,266,595,336,399,190,160,513,750,1568,245,588,381,553,2098,359,726,446,399,169,107,513
"195","Norfolk St.",6500,763,1828,206,620,473,695,2205,345,881,345,469,161,134,663,787,1825,259,689,484,734,2317,358,818,453,382,192,124,621
"196","North Carolina",7425,1108,2415,257,728,596,803,3069,578,1028,664,437,248,133,666,915,2204,294,864,510,697,2634,342,831,432,484,229,169,726
"197","North Carolina St.",6450,888,1898,226,635,481,687,2483,329,832,458,402,162,140,585,918,2039,268,683,443,619,2547,380,776,450,361,191,93,577
"198","North Dakota",5900,817,1718,201,519,450,620,2285,260,754,431,392,220,81,623,763,1692,189,543,465,671,2180,292,740,339,421,172,62,589
"199","North Dakota St.",5425,708,1562,215,592,402,577,2069,234,732,334,330,170,105,477,716,1651,233,616,365,517,2036,284,703,381,335,162,79,510
"200","North Florida",6000,775,1761,255,734,399,615,2204,366,750,361,454,153,111,568,860,1848,229,626,439,647,2388,349,733,477,361,246,97,553
"201","North Texas",5625,645,1638,173,546,368,571,1917,277,705,313,367,186,81,532,739,1680,217,628,441,587,2136,319,772,393,356,170,104,500
"202","Northeastern",6025,767,1682,246,728,433,636,2234,264,775,414,390,170,112,522,806,1692,235,646,383,550,2230,286,765,424,359,180,111,572
"203","Northern Ariz.",6225,741,1832,229,722,415,609,2126,372,801,427,450,137,58,572,809,1847,245,723,420,606,2263,294,815,448,368,210,100,606
"204","Northern Colo.",5450,669,1538,231,678,315,530,1884,279,705,353,389,134,60,523,715,1566,205,586,386,541,2021,240,741,340,348,173,97,528
"205","Northern Ill.",5700,719,1696,136,445,465,683,2039,368,729,299,400,199,69,576,704,1614,233,668,434,642,2075,285,731,401,422,175,100,610
"206","Northern Ky.",6600,853,1902,288,807,437,694,2466,364,864,440,410,185,86,591,869,1964,213,658,427,599,2378,309,802,394,393,196,133,606
"207","Northwestern",7200,913,2092,255,745,477,638,2558,386,918,541,383,189,160,691,817,2025,233,699,490,732,2357,405,869,428,429,205,140,640
"208","Northwestern St.",5049,634,1441,177,486,411,591,1856,269,598,342,383,163,63,462,710,1493,190,503,395,588,2005,286,639,422,352,177,84,523
"209","Notre Dame",7025,951,2081,302,802,479,599,2702,326,858,549,332,243,131,523,884,2058,246,722,408,553,2422,380,865,455,444,180,142,563
"210","Oakland",6425,872,1925,228,684,554,726,2526,331,907,500,414,242,139,564,839,2041,211,656,406,581,2295,373,799,420,448,208,104,631
"211","Ohio",6001,810,1783,276,715,414,601,2310,275,835,397,377,173,84,539,750,1810,210,656,406,592,2116,321,798,330,392,174,86,590
"212","Ohio St.",6425,782,1786,211,592,464,680,2329,324,868,434,423,166,121,562,791,1902,278,780,372,560,2232,351,768,417,386,158,98,615
"213","Oklahoma",6076,788,1864,192,559,494,639,2262,361,812,329,428,213,147,601,806,1871,259,710,428,627,2299,344,812,417,416,218,126,579
"214","Oklahoma St.",6400,928,1984,286,673,585,742,2727,439,740,472,422,243,96,680,842,1798,228,627,592,769,2504,346,706,435,412,207,138,653
"215","Old Dominion",6250,727,1765,157,485,387,602,1998,412,778,422,348,196,142,567,632,1579,202,601,430,609,1896,267,748,319,400,154,100,570
"216","Ole Miss",7250,914,2162,283,815,696,926,2807,458,965,467,515,243,139,703,938,2205,289,885,550,785,2747,414,895,557,501,246,132,758
"217","Omaha",6275,855,1903,281,731,582,729,2573,330,779,421,411,236,88,602,918,1883,283,723,489,662,2608,355,811,478,458,209,123,625
"218","Oral Roberts",5651,740,1690,195,551,395,516,2070,254,700,386,336,144,87,507,809,1714,256,646,385,549,2259,292,758,453,326,192,87,491
"219","Oregon",7625,1006,2114,326,857,537,759,2855,396,980,559,447,248,238,608,911,2247,264,845,425,591,2511,411,828,447,480,182,120,717
"220","Oregon St.",6225,686,1626,197,570,331,508,1937,281,718,357,453,174,115,598,777,1733,225,630,483,686,2262,342,761,426,366,235,99,563
"221","Pacific",6026,699,1762,169,521,417,617,1984,341,776,355,356,119,57,597,737,1631,233,655,474,679,2181,235,830,434,341,158,112,557
"222","Penn",5400,710,1602,234,690,274,417,1928,267,706,401,359,181,100,470,650,1561,222,617,382,524,1904,294,702,355,380,159,86,448
"223","Penn St.",6450,825,1991,230,679,487,654,2367,330,839,452,430,225,182,596,856,1990,246,678,442,620,2400,370,911,442,487,216,122,609
"224","Pepperdine",5600,732,1630,162,423,315,489,1941,266,668,388,361,137,73,484,777,1683,243,626,347,494,2248,268,738,429,308,179,108,517
"225","Pittsburgh",6250,782,1772,251,701,480,702,2330,307,821,459,384,120,108,533,881,1959,250,706,373,525,2385,336,773,478,309,170,112,597
"226","Portland",5675,634,1504,186,491,435,592,1889,234,687,272,343,128,93,522,729,1669,240,662,369,531,2067,318,712,387,323,154,98,576
"227","Portland St.",5525,827,1770,206,617,444,674,2304,275,650,414,347,252,72,568,816,1670,240,645,444,614,2186,296,797,459,477,166,81,574
"228","Prairie View",6052,702,1670,219,627,410,585,2033,267,649,358,394,246,107,634,726,1569,189,526,468,740,2184,343,796,380,457,163,121,511
"229","Presbyterian",5626,599,1493,162,482,279,414,1639,280,613,318,428,128,63,484,725,1542,279,705,405,566,2134,287,686,418,310,235,107,460
"230","Princeton",5600,730,1640,268,758,296,400,2041,234,708,400,286,177,93,469,636,1501,190,551,335,480,1797,234,738,308,357,128,77,445
"231","Providence",6400,804,1795,239,645,472,683,2319,294,806,471,412,218,98,569,810,1840,207,631,380,562,2207,323,819,392,454,192,96,631
"232","Purdue",7075,980,2044,315,782,515,680,2790,344,975,640,455,181,87,552,902,2145,242,729,347,491,2393,315,773,451,411,229,109,668
"233","Quinnipiac",6250,848,2008,212,700,453,663,2377,432,791,447,448,178,100,608,899,1936,239,629,546,739,2471,342,836,471,394,227,106,617
"234","Radford",6100,681,1675,229,662,326,494,1917,369,761,349,417,136,110,516,738,1726,205,571,353,517,2120,280,723,359,301,210,113,466
"235","Rhode Island",7025,916,1941,217,652,528,791,2470,409,892,465,389,226,191,726,762,1876,166,563,598,845,2288,376,836,353,459,185,106,692
"236","Rice",6675,887,1852,308,792,595,758,2677,332,901,448,478,187,120,634,898,1932,216,638,511,718,2523,320,826,435,404,232,94,705
"237","Richmond",7050,938,1993,271,793,449,630,2596,236,842,592,399,232,67,636,890,1935,229,714,511,697,2520,373,906,472,467,197,105,626
"238","Rider",6425,839,1959,174,521,495,736,2315,409,887,428,469,197,117,636,819,1935,225,714,522,705,2401,327,814,423,430,229,111,654
"239","Robert Morris",6625,728,1818,183,574,455,708,2125,363,776,348,447,245,80,671,777,1773,162,543,522,754,2238,354,873,391,547,212,130,689
"240","Rutgers",6425,780,1908,145,480,372,595,2077,465,809,345,426,204,149,565,759,1833,225,688,415,571,2158,348,777,438,408,198,150,578
"241","SFA",6049,701,1596,169,539,460,648,2031,346,683,363,485,201,86,641,710,1541,187,535,462,684,2069,271,650,371,474,213,96,599
"242","SIUE",5650,646,1583,133,456,490,723,1915,331,659,289,406,135,74,622,743,1567,165,498,515,704,2166,263,718,419,366,179,103,613
"243","SMU",7000,914,1936,286,705,485,697,2599,416,918,567,377,200,117,505,745,1928,282,878,328,474,2100,330,701,417,408,171,106,635
"244","Sacramento St.",5900,744,1644,148,477,405,613,2041,280,723,367,334,137,116,541,784,1710,220,571,401,566,2189,300,741,419,315,161,86,562
"245","Sacred Heart",6250,832,1882,200,597,431,659,2326,361,833,459,491,217,86,583,871,1810,258,681,436,631,2436,310,807,405,458,245,132,642
"246","Saint Francis (PA)",6677,899,1948,258,677,402,577,2458,342,847,442,491,217,128,537,903,2088,300,813,368,500,2474,406,808,478,442,224,106,556
"247","Saint Joseph's",6050,731,1735,169,515,461,713,2092,329,760,343,363,144,102,533,756,1746,254,784,410,564,2192,277,801,439,378,169,86,586
"248","Saint Louis",6650,700,1733,230,672,357,542,2026,279,814,423,441,164,95,640,784,1787,240,674,480,688,2288,305,873,496,367,209,129,560
"249","Saint Peter's",7252,825,1891,288,755,401,575,2376,297,884,440,398,251,106,571,782,1881,247,774,378,549,2189,309,866,419,481,184,107,607
"250","Sam Houston St.",6025,754,1792,180,589,446,651,2134,359,741,418,420,201,82,674,704,1607,198,571,564,776,2170,281,776,372,481,194,109,622
"251","Samford",6750,895,1933,260,669,598,802,2648,334,886,535,462,204,70,603,908,2107,284,854,450,669,2586,402,801,524,418,226,128,685
"252","San Diego",5450,609,1488,236,670,379,529,1833,229,710,350,348,107,51,554,700,1542,195,544,383,568,1978,238,721,343,281,136,99,509
"253","San Diego St.",6425,750,1821,229,684,450,642,2179,347,815,342,374,203,156,559,695,1783,208,647,408,579,2006,334,789,354,407,169,114,608
"254","San Francisco",5999,788,1674,280,750,317,496,2173,284,810,407,387,201,83,600,722,1652,190,569,400,593,2034,298,770,342,377,161,111,523
"255","San Jose St.",5426,673,1561,170,504,397,571,1913,240,650,359,356,163,121,535,701,1519,161,469,461,620,2024,229,728,346,350,161,82,518
"256","Santa Clara",6100,711,1640,276,772,294,392,2014,181,718,389,314,159,61,559,703,1562,190,509,370,539,1966,231,790,375,376,119,84,492
"257","Savannah St.",5425,763,1717,345,1027,395,611,2266,339,744,448,400,213,80,541,836,1692,277,765,414,617,2117,414,890,447,404,168,119,542
"258","Seattle U",5525,621,1456,230,679,371,527,1843,188,703,421,397,170,58,524,661,1627,226,677,414,571,1962,318,725,437,368,206,84,526
"259","Seton Hall",6000,872,1947,202,597,471,733,2417,439,873,404,449,228,83,613,811,1873,214,628,487,677,2323,297,788,399,402,231,114,642
"260","Siena",6825,899,1989,186,568,565,795,2549,430,854,460,476,199,140,668,901,2014,224,661,515,714,2541,354,781,430,414,221,127,699
"261","South Ala.",5200,738,1737,207,654,442,666,2127,305,705,380,397,224,113,616,763,1684,233,644,478,681,2237,327,817,425,434,169,101,602
"262","South Carolina",7025,888,2042,238,713,601,809,2617,451,848,449,468,282,132,735,767,1907,203,664,615,849,2352,391,880,351,594,200,138,725
"263","South Carolina St.",5652,703,1662,169,526,362,517,1937,296,607,335,352,136,59,551,794,1564,193,564,470,658,2251,331,735,393,343,130,109,484
"264","South Dakota",6425,838,1903,213,623,571,771,2460,327,845,381,377,216,94,625,848,1928,262,699,449,615,2407,319,859,427,434,164,130,641
"265","South Dakota St.",6675,826,1835,300,837,561,733,2513,299,851,425,424,166,76,563,915,2021,323,848,394,548,2567,346,805,480,374,222,105,678
"266","South Fla.",6025,716,1683,174,503,339,516,1945,328,725,365,465,183,115,579,740,1725,265,672,474,692,2235,372,744,474,398,231,131,515
"267","Southeast Mo. St.",6250,788,1774,248,673,461,623,2285,266,687,422,385,220,57,611,809,1688,249,674,468,658,2335,296,810,445,452,145,97,566
"268","Southeastern La.",6000,737,1664,198,549,422,615,2094,362,709,414,474,203,100,582,709,1642,192,556,461,650,2071,315,672,360,448,189,113,574
"269","Southern California",7225,975,2139,283,782,583,787,2816,387,897,550,398,222,190,572,973,2243,301,819,386,538,2633,409,861,522,452,200,115,674
"270","Southern Ill.",6500,779,1813,172,545,445,641,2175,336,734,363,379,219,123,541,790,1756,254,644,391,590,2225,336,803,406,413,165,113,584
"271","Southern Miss.",5850,635,1617,185,625,336,473,1791,235,735,347,356,136,56,488,724,1639,263,704,388,555,2099,257,817,437,327,167,115,472
"272","Southern U.",6025,734,1695,147,459,504,724,2119,369,766,337,416,159,101,584,775,1807,193,599,458,680,2203,391,705,343,362,179,110,577
"273","Southern Utah",6000,755,1874,279,768,561,757,2350,354,753,355,421,171,102,759,869,1779,277,643,651,913,2666,314,852,481,382,176,128,649
"274","St. Bonaventure",6450,825,1864,201,577,608,791,2459,369,784,423,401,230,138,671,778,1801,243,689,517,747,2316,352,749,444,475,165,106,663
"275","St. Francis Brooklyn",5850,611,1741,208,702,361,557,1791,343,643,270,349,192,84,628,746,1572,159,437,461,681,2147,316,898,355,403,153,99,539
"276","St. John's (NY)",6600,866,1921,262,763,524,724,2534,337,799,419,433,224,187,688,904,1962,249,664,541,772,2598,390,895,495,501,207,107,676
"277","St. Mary's (CA)",6800,892,1797,293,744,372,499,2339,324,883,563,365,143,110,512,738,1792,149,496,329,476,1954,247,655,297,318,191,82,549
"278","Stanford",5825,725,1651,153,471,429,628,2032,298,698,394,378,196,75,551,705,1578,241,622,432,619,2083,265,706,406,420,182,107,514
"279","Stetson",5826,788,1809,231,693,390,589,2197,240,748,370,324,134,57,556,891,1914,243,683,426,616,2451,368,899,455,328,150,120,552
"280","Stony Brook",6400,759,1797,250,764,445,616,2215,358,751,391,325,174,102,622,747,1702,232,618,478,682,2204,304,853,363,423,142,76,624
"281","Syracuse",6625,862,1892,285,762,485,663,2494,357,799,481,407,269,157,524,833,1951,281,790,376,568,2323,418,766,528,444,204,86,590
"282","TCU",7650,1034,2222,273,764,491,715,2832,439,927,646,490,244,160,663,965,2178,264,728,460,672,2654,385,847,563,487,223,148,694
"283","Temple",6226,808,1916,287,807,366,506,2269,320,777,464,365,192,128,581,807,1875,226,658,437,601,2277,369,843,437,403,172,126,488
"284","Tennessee",6225,767,1834,182,562,572,787,2288,375,795,425,362,162,140,651,755,1771,210,591,534,766,2254,342,806,374,429,185,120,663
"285","Tennessee St.",5475,664,1502,152,455,422,604,1902,317,675,302,379,174,94,580,579,1410,222,630,471,679,1851,253,624,355,404,148,81,561
"286","Tennessee Tech",5850,721,1729,221,681,476,666,2139,322,730,394,409,200,104,603,754,1695,237,683,495,673,2242,315,787,456,436,171,107,610
"287","Texas",6601,810,1847,181,620,414,637,2215,323,809,377,443,190,149,589,820,1932,218,669,415,580,2273,367,813,397,413,213,105,606
"288","Texas A&M",6200,804,1754,189,574,379,584,2176,401,796,489,389,186,173,511,739,1829,249,708,375,514,2102,361,671,426,361,205,104,539
"289","Texas Southern",7049,866,2017,205,659,618,845,2593,401,825,411,407,251,110,607,940,2113,196,602,466,682,2544,446,873,453,468,182,118,742
"290","Texas St.",6200,801,1793,209,612,434,660,2245,312,805,486,400,211,152,614,751,1792,205,639,468,646,2175,339,796,358,437,186,124,619
"291","Texas Tech",6249,835,1779,212,575,464,633,2346,299,756,447,354,169,100,561,731,1693,255,718,429,602,2146,261,694,370,435,165,80,597
"292","The Citadel",6076,851,2078,327,972,507,681,2555,369,700,476,422,247,71,671,875,1882,266,683,536,805,2603,383,951,547,482,212,103,608
"293","Toledo",6350,910,1905,254,704,503,729,2577,330,902,530,438,126,88,568,921,1990,199,616,386,564,2398,308,804,412,335,228,133,667
"294","Towson",6475,814,1837,148,484,535,785,2348,429,827,330,416,213,113,670,727,1721,234,682,558,811,2248,292,730,371,416,174,133,646
"295","Troy",6800,889,1998,282,805,540,801,2640,375,877,426,433,201,117,617,888,2046,277,811,486,671,2539,372,844,446,426,209,116,670
"296","Tulane",6025,751,1856,221,683,456,636,2179,349,715,398,420,192,119,584,843,1788,219,616,513,730,2434,344,842,424,439,193,115,568
"297","Tulsa",6425,701,1673,234,683,522,716,2158,311,802,366,473,145,80,579,786,1810,254,707,423,600,2249,316,745,389,401,210,134,649
"298","UAB",6250,773,1690,188,552,441,606,2208,301,815,462,428,151,154,500,784,1822,229,682,377,542,2174,317,705,386,366,211,97,565
"299","UC Davis",6875,813,1892,205,595,483,726,2349,342,859,421,486,173,115,662,836,1957,233,714,462,647,2367,339,836,451,471,231,117,714
"300","UC Irvine",6650,790,1885,236,663,390,566,2280,366,943,411,443,157,130,700,717,1792,198,619,484,702,2151,333,774,374,337,182,89,589
"301","UC Riverside",5425,619,1527,159,503,321,458,1718,249,662,304,373,172,79,534,663,1547,214,572,381,527,1921,282,710,383,357,139,82,474
"302","UC Santa Barbara",5426,595,1505,146,475,290,458,1626,335,641,321,330,144,57,489,682,1519,231,672,341,490,1936,270,752,433,316,147,86,437
"303","UCF",7225,825,1898,263,711,501,758,2414,389,1079,400,525,144,145,548,793,2175,273,873,343,485,2202,370,803,483,351,231,103,676
"304","UCLA",7200,1210,2320,335,872,459,622,3233,343,1042,771,404,212,191,584,1000,2288,310,849,409,602,2719,417,835,468,400,227,64,616
"305","UConn",6450,740,1747,199,608,432,603,2127,327,843,412,393,141,157,528,725,1856,241,731,378,548,2107,370,767,392,339,199,89,534
"306","UMBC",6301,848,1914,294,764,466,669,2449,274,838,462,383,215,64,567,881,1925,237,677,486,626,2504,315,851,455,415,179,82,609
"307","UMES",6227,793,1890,245,714,375,615,2249,326,742,419,405,168,81,627,834,1820,254,709,524,745,2330,373,876,473,434,172,113,546
"308","UMKC",6427,807,1873,281,762,513,720,2408,318,768,398,468,215,78,701,879,1897,236,692,539,791,2533,364,854,453,476,203,93,625
"309","UMass Lowell",6082,841,1758,243,632,407,554,2332,270,727,471,459,162,62,610,845,1812,247,668,507,691,2444,322,725,469,394,249,80,562
"310","UNC Asheville",6075,844,1786,246,631,425,623,2359,258,759,469,348,268,58,514,781,1717,236,659,361,536,2159,285,799,434,492,163,100,546
"311","UNCG",6399,836,1849,266,718,396,557,2334,369,754,445,432,206,120,584,774,1781,239,657,466,620,2253,330,708,415,421,205,88,560
"312","UNCW",6625,945,2081,293,871,441,641,2731,392,766,516,322,212,112,656,878,1820,182,536,509,722,2447,305,814,417,468,143,95,614
"313","UNI",5875,592,1502,199,678,377,513,1780,174,670,281,329,186,82,453,682,1570,224,608,306,409,1894,265,809,357,397,170,65,537
"314","UNLV",6475,702,1893,213,666,495,711,2092,365,840,412,387,189,85,539,882,1957,256,677,385,559,2405,319,896,442,377,196,147,664
"315","USC Upstate",5875,800,1757,240,694,361,559,2201,323,762,421,370,137,86,500,818,1841,231,695,402,551,2271,330,745,465,299,165,57,531
"316","UT Arlington",6599,903,1988,280,847,480,693,2566,396,875,515,436,237,72,633,805,1921,276,821,463,704,2349,366,806,431,471,232,110,629
"317","UT Martin",6426,884,1925,262,756,460,661,2490,425,797,506,501,210,104,583,884,1966,284,863,432,611,2502,382,712,508,441,215,95,606
"318","UTEP",6051,778,1669,172,502,401,606,2129,225,827,434,405,165,97,597,728,1710,236,694,456,668,2148,276,788,422,373,175,62,586
"319","UTRGV",5925,776,1854,238,733,436,603,2226,344,707,416,455,216,74,642,813,1697,217,586,572,839,2451,328,826,491,455,215,79,547
"320","UTSA",6200,708,1762,151,565,444,666,2011,404,811,317,388,164,60,571,745,1716,217,624,440,603,2147,259,845,403,376,182,127,596
"321","Utah",5800,872,1729,201,559,389,573,2334,298,807,446,404,187,100,509,754,1751,210,590,372,546,2090,262,666,353,359,193,97,570
"322","Utah St.",6025,759,1662,228,600,411,584,2157,249,808,449,377,145,90,574,752,1760,227,658,413,593,2144,294,749,423,328,181,92,538
"323","Utah Valley",6026,800,1835,269,832,450,637,2241,271,940,467,457,183,109,623,825,1948,207,635,460,685,2317,309,870,417,414,217,90,598
"324","VCU",6901,916,1985,197,589,510,721,2539,375,871,519,426,256,134,698,775,1852,196,580,512,737,2258,330,818,359,499,187,125,660
"325","VMI",5600,670,1635,233,728,334,483,1907,275,625,322,370,171,105,560,790,1604,240,589,426,636,2246,298,759,435,351,201,70,457
"326","Valparaiso",6200,817,1840,212,642,530,680,2376,332,873,403,410,197,89,606,773,1875,233,711,420,609,2199,320,761,416,401,193,102,632
"327","Vanderbilt",7025,815,1896,346,921,513,660,2489,286,922,450,430,147,134,581,862,2029,226,670,435,622,2385,341,867,399,379,193,104,588
"328","Vermont",6797,878,1851,217,591,443,634,2492,311,826,458,377,190,130,548,805,1860,197,565,347,492,2154,307,731,358,435,180,95,628
"329","Villanova",7200,965,1948,279,802,538,681,2779,316,891,505,402,259,109,516,846,2018,251,807,313,445,2256,343,730,482,475,184,73,658
"330","Virginia",6450,816,1776,221,586,323,452,2176,290,796,459,313,182,134,540,640,1598,202,632,379,543,1861,252,731,323,416,163,86,482
"331","Virginia Tech",6200,862,1755,277,690,531,717,2532,234,807,479,378,123,90,521,861,1965,258,711,381,530,2361,355,751,429,366,168,123,612
"332","Wagner",5875,694,1638,173,533,392,568,1953,417,709,305,408,138,99,597,656,1580,191,570,428,615,1931,317,624,342,352,165,74,562
"333","Wake Forest",6200,861,1826,251,652,579,746,2552,331,790,483,370,171,113,633,836,1822,246,713,508,696,2442,305,733,441,358,190,119,627
"334","Washington",6226,874,1950,226,639,394,602,2368,401,755,408,425,188,157,600,898,1926,236,591,481,669,2513,345,747,470,349,204,118,570
"335","Washington St.",6025,774,1685,205,560,345,458,2098,194,762,438,378,126,78,487,851,1839,241,681,357,513,2300,304,777,439,307,172,89,489
"336","Weber St.",6500,824,1725,283,703,546,740,2479,216,791,400,379,158,105,567,893,1941,178,504,425,572,2389,343,793,383,369,158,73,663
"337","West Virginia",7275,1059,2333,275,759,621,907,3014,534,851,607,455,350,176,761,826,1948,250,708,565,827,2467,398,875,442,549,209,142,796
"338","Western Caro.",6000,656,1716,166,546,313,475,1791,362,697,330,446,177,66,624,732,1609,238,662,525,751,2229,284,786,435,396,222,121,491
"339","Western Ill.",5074,639,1505,239,618,309,436,1826,177,694,333,346,113,110,516,695,1552,198,477,426,588,2050,236,759,350,259,171,71,450
"340","Western Ky.",6200,759,1718,209,588,431,644,2158,294,793,387,375,140,104,467,822,1822,238,654,328,462,2229,285,782,449,335,165,90,559
"341","Western Mich.",6226,832,1836,205,536,458,643,2327,343,750,403,384,170,89,578,835,1764,237,655,427,604,2334,270,758,437,399,186,96,604
"342","Wichita St.",7000,960,1979,302,751,607,781,2713,420,1011,565,394,225,138,655,738,1951,235,755,478,687,2189,322,802,365,471,183,119,701
"343","William & Mary",5851,767,1673,260,644,445,647,2325,247,786,499,364,135,130,539,800,1780,263,728,445,625,2308,297,719,399,304,181,108,548
"344","Winthrop",6100,823,1819,283,791,461,694,2443,288,849,398,402,190,150,545,767,1870,213,664,465,645,2212,337,807,320,421,186,105,610
"345","Wisconsin",7500,971,2136,283,789,453,703,2678,460,916,503,411,250,131,602,822,1993,251,667,413,559,2308,319,825,376,472,197,115,680
"346","Wofford",5850,786,1748,269,701,404,558,2281,290,700,472,365,169,58,576,802,1681,194,567,472,645,2270,274,746,372,376,186,87,517
"347","Wright St.",5800,758,1709,262,705,493,649,2271,304,745,439,441,162,70,563,772,1708,234,673,451,633,2229,269,731,369,420,201,93,568
"348","Wyoming",7025,933,2149,347,993,593,804,2806,302,1057,532,479,187,157,718,918,2163,245,780,643,888,2724,404,1018,412,440,248,95,732
"349","Xavier",7400,981,2148,267,775,607,833,2836,451,965,560,478,228,100,711,964,2144,283,847,500,716,2711,331,855,530,454,243,143,735
"350","Yale",5400,729,1582,196,552,395,536,2049,292,721,427,371,152,110,444,724,1597,215,648,319,441,1982,287,639,376,327,189,90,462
"351","Youngstown St.",6301,875,2019,233,710,367,545,2432,335,824,469,385,180,98,551,984,2099,255,737,437,611,2662,378,937,494,395,189,113,553
